sentence_id	sentence	locale	reason
d2487593f36f391a5acdcc9b3a35bc076634d4ac57bb9fc204dcc59c143d938b	SI bu kararıyla iddiayı kaybetmiş göründü.	tr	grammar-or-spelling
d2487593f36f391a5acdcc9b3a35bc076634d4ac57bb9fc204dcc59c143d938b	SI bu kararıyla iddiayı kaybetmiş göründü.	tr	difficult-pronounce
c3b475bcff0257f14fafdac16c3da009020eb360466313cfd92e94d864c053aa	Ancak gerçek oran kuskusuz daha yüksek.	tr	grammar-or-spelling
1c5acf73c4a9b45327fa6a8651a91768249bd8b1f567a75ec371f77f71d7af04	Bölgede yenilenen işbirliği çözüme katkıda bulunaabilir mi?	tr	grammar-or-spelling
15ed9f716915a81cc2033d925ddae80bf99f87c796db659a44fb93d26d4caa54	Mahhemenin altı ay sürmesi bekleniyor.	tr	grammar-or-spelling
1c5acf73c4a9b45327fa6a8651a91768249bd8b1f567a75ec371f77f71d7af04	Bölgede yenilenen işbirliği çözüme katkıda bulunaabilir mi?	tr	grammar-or-spelling
30715e633428b3cc12b1943ca9939345f019a54ca48ef3e42c54003fd6b2cf22	Fakat Geoana kendinden emin görünüyor.	tr	difficult-pronounce
56d1611eefa6edb35b117dbcae0847297789f3e3ea132dcb50265cc96a6e3450	Korg .	tr	different-language
5911aba3b09d55d600510464d391e1090cd5d9577e9920cc012dca4660908463	Fakat bu kurumda görev savcılar bulmak zor.	tr	grammar-or-spelling
9efc84f9f6e50f42caf1307b718033729f7b7e214ac4554eb00cba8f1a1d7d4d	Nuremberg, Frankenstadion.	tr	different-language
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
8caec421ad4611ca9b8e1c8efa5d79afe00ae686d28f0e24f2dedbcc016bd6e7	Seçimler on dört Nisan Çarşamba günü yapılacak.	tr	offensive-language
8caec421ad4611ca9b8e1c8efa5d79afe00ae686d28f0e24f2dedbcc016bd6e7	Seçimler on dört Nisan Çarşamba günü yapılacak.	tr	different-language
8caec421ad4611ca9b8e1c8efa5d79afe00ae686d28f0e24f2dedbcc016bd6e7	Seçimler on dört Nisan Çarşamba günü yapılacak.	tr	grammar-or-spelling
82b7da8b50cfb17bb6608f3e748bf1dfc302a23b5b222899ab31463f63222959	Bulgaristan listede otuz üç. sırada yer aldı.	tr	grammar-or-spelling
8f86472d484c0ed9b6cac4818cbff8e9b5c6daa4a6adf57f69ece05f75abfef6	Pek şimdi ne olacak?	tr	grammar-or-spelling
7e1aef8533c0cef51f0f44233348dac9327adcf83a785f221d0d361b6c91e073	Ülkede topla altı bin üç yüz bina sular altında kaldı.	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
98b9b06df6f164ee7d27389549d03ce3fa2103d47434b5efcb13f14a48e7c802	Stamatis Kraounakis.	tr	different-language
ed6a1b386ee66831d5e58565d78538c4e035f6879b79a8c442a83b8ffbd8f9be	Akşama doğru kuzu hazır hale gelir.	tr	difficult-pronounce
d39f4eee61b73df8daab2de4f4a95043b03875d7c2090c42cb81932552ccf01d	Bizim politikamız budur.	tr	difficult-pronounce
fec23f35ac1b53ae7ef151604fe9f8d5e1bd902140543e132fb478a235ca05b5	Etkinlik yedi Haziran'da sona erecek.	tr	difficult-pronounce
bc39e5788bf61561ed7d5c17e6b9d89a13a4555ed6708d492e3f4d5d7b9b823e	Daha iyi bir hayat düşünülemezdi.	tr	different-language
bc39e5788bf61561ed7d5c17e6b9d89a13a4555ed6708d492e3f4d5d7b9b823e	Daha iyi bir hayat düşünülemezdi.	tr	difficult-pronounce
e89e6f59379b25b25540a0305e28fced9859ad854b2c43103b1a81e597e72e23	Avrupa Komisyonu konuyu incelediğini söyledi.	tr	offensive-language
cfed64a5f6e947e1b5f26c6710e122fdb502433fff4ccbcae8e8196ca09c8c19	Güçlü patlama kentin büyük bölümünden işitildi.	tr	grammar-or-spelling
e7cf24523f5257362b475d660e61a05f75e6a034db1a8e6f819c36ecff302106	Paylaşma ve yoksullara yardım etme zamanıdır.	tr	offensive-language
e7cf24523f5257362b475d660e61a05f75e6a034db1a8e6f819c36ecff302106	Paylaşma ve yoksullara yardım etme zamanıdır.	tr	grammar-or-spelling
e7cf24523f5257362b475d660e61a05f75e6a034db1a8e6f819c36ecff302106	Paylaşma ve yoksullara yardım etme zamanıdır.	tr	different-language
c6f4a20d9b494243120c7a07345690ff8592c3bf2f17a5e2928bee1890c89d97	Ancak, bu olumlu durum kısa sürede tersine dondu.	tr	grammar-or-spelling
fa2d308141808bbb43acaed1f9acdb5c0c77e93c9a18aa9471df86ed8cb7c4e7	Planın ardından yatan mantık tam olarak nedir ve Yunanlıları uzun vadede nasıl etkileyecektir?	tr	grammar-or-spelling
1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	tr	grammar-or-spelling
1aa01776accecc4791c48014eaf05d049bcf88db30011fe18cd8b567b7ffd821	Tutumların Avrupalı bir unsura rastlamadım.	tr	grammar-or-spelling
24875df4fc45f22f17b828b1ed640676b8aacc4f9241853cef264ca2ffd62547	Uiki bin dokuz yüz doksan yedi yılında Saraybosna'da çaldı.	tr	grammar-or-spelling
e871bdc3f684eb7b3b2fd6397b790e8c71743e50c2351a95b1c263d6e9a9db1e	Sektördeki resmi ortamala aylık iki yüz on bir avro.	tr	grammar-or-spelling
3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	tr	grammar-or-spelling
4207b4d986417ec4e9875b02274d0ce47a805a94be85e021e19688fcd2ab6f4f	Bu toprakların özü İslam'la yoğrulmuştur.	tr	difficult-pronounce
187e7317008c142c63d621d7325b4c64da2bdb3f2d8951b114ec43d154f6670c	Muzar üç buçuk yıldır cemaatin bir üyesi.	tr	different-language
3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	tr	grammar-or-spelling
51d2cf1de486c67263db1d49cc0d78ce97c6c1c2259041f7da3c2854637d6cc0	Allahverdi, örgütün ilk Türk üyesi oldu.	tr	uydurma
3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	tr	grammar-or-spelling
3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	tr	grammar-or-spelling
68e3f72549ca8e5963a2951ec259d20e286a6cff7e63f058c5ffcf9e5cef3400	Tum bu önerilerin sonucunu zaman gösterecek.	tr	grammar-or-spelling
56e7344340ca1b27fc73fea40d376352259c9ac32cda526e5b23315e4d98a064	English görevi bu ay devralacak.	tr	different-language
49271349b3ef7a09f144767e4628f88602e856aa4fb6cf8164628024faf38ad5	Erdoğan'ın eşi de türban takıyor.	tr	Siyasi cümeler korkutuyor, ç?kar?lmal?, bir yerde kullan?labilir. Politic sentences should be removed.
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
6ae3fcf2f458551567646d364f17a61aab3a484767a431842d3651028c6c131a	Xhema ise Mabetex'in yönetim kurulu uyesi.	tr	different-language
6ae3fcf2f458551567646d364f17a61aab3a484767a431842d3651028c6c131a	Xhema ise Mabetex'in yönetim kurulu uyesi.	tr	different-language
1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	tr	grammar-or-spelling
3755cb7a61df0f474e3e6cf2cef5bb2381ea0d7ea4368163aaa750037b5cf164	Foruma dört yüzde fazla kişi katıldı.	tr	grammar-or-spelling
3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	tr	grammar-or-spelling
1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	tr	grammar-or-spelling
629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	Batiç ise herhangi bir dosya gördugunu reddetti.	tr	grammar-or-spelling
1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	tr	grammar-or-spelling
7fcd8f93dc13d699a1ffd6d00e1d4354d222be8bb7319f90a8a5fecd772ee898	Taliban'ın İstanbul adresi mi var?	tr	Siyasi
8215593135ac153e152917b3e0a58e9936f71c3f1b9173cdf5ee359ad1501885	Şu ânda durum nedir?	tr	grammar-or-spelling
629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	Batiç ise herhangi bir dosya gördugunu reddetti.	tr	grammar-or-spelling
629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	Batiç ise herhangi bir dosya gördugunu reddetti.	tr	grammar-or-spelling
89e77fbfff5eaf9d29589aad177fdf18e3a814dac1e4b5a1f4edbc9e11f0bca6	Ancak, bunun kolay olmayacagi belirtiliyor.	tr	grammar-or-spelling
629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	Batiç ise herhangi bir dosya gördugunu reddetti.	tr	grammar-or-spelling
3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	tr	grammar-or-spelling
897fb859e9a657a0ff8bdc8d8508013621b47e946008fb56f90862592b99f639	Refah dönemi hemen yarım başlamayacak.	tr	grammar-or-spelling
6693b45c8e9d77792861a8500cf7257cc4ac287e8c6737df6b712a3bf25e7415	Buun nedenlerinden birisi trafik sorunuydu.	tr	grammar-or-spelling
99525c50e4094e7eb25be8901ad05a1d7c43b17fd2864d461da5258921e30f1d	Kosova başkentinswki yolcu sayısı arttı.	tr	grammar-or-spelling
99525c50e4094e7eb25be8901ad05a1d7c43b17fd2864d461da5258921e30f1d	Kosova başkentinswki yolcu sayısı arttı.	tr	grammar-or-spelling
f0c2393879f733ae0e6e2ac31e02ffee086b61c645e6134efe0cb32c3b492e0f	Port Elizabeth'e gittik.	tr	different-language
b7dbd3b221fd1612c3889ee5bdb659bbaaad2b387c5dfae60c25b790b9eabde5	Cortiç buna katılıyor.	tr	offensive-language
b7dbd3b221fd1612c3889ee5bdb659bbaaad2b387c5dfae60c25b790b9eabde5	Cortiç buna katılıyor.	tr	grammar-or-spelling
bde974c8c96216656774ec6848c2f032e4020d1ecd922212c531f9c52dad4816	Bdoksan iki bu açıdan hangi noktada duruyor?	tr	grammar-or-spelling
f3af7c33e89e55719e3b6a53137d5f73356668cf80fbf17e8d4d3af3e9adf2a3	Seydiu şimdi iki mevkiyi de kaybetti.	tr	grammar-or-spelling
f3af7c33e89e55719e3b6a53137d5f73356668cf80fbf17e8d4d3af3e9adf2a3	Seydiu şimdi iki mevkiyi de kaybetti.	tr	difficult-pronounce
15fe2959219f203eb080c689681f55ac529e78f3a76dcd6684a9d4f9d6519764	Halka açık sigara yerlerde sigara içmek mi?	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
0d0920465e0b39a7f4a903c3dd64a290d11748239b268434fe36aa1a27c706c2	Ancak reformu siyasi bağlamı pek dostça olmadı.	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
0f85be8c485be6ad9c0227f80965d18dabd565b7c0788c0bebfe41140c7b3653	Birini sınıf müfredatı hazırlık niteliğinde.	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
ff673fe117773c486c536f87af0b9fd9748b75d19540b7427376899103bc1c75	Polis en az altı kişiyi daha sorguya çekiyor.	tr	difficult-pronounce
0e828a3c6fd86bed19aef1c143ed03d3d8988ef7cd1debbc4ecf96c363856f86	Türk medyası da yasağa ateş püskürdü.	tr	difficult-pronounce
0d29aaa5d15c5b7412064f6d1c504d42dc5c2f4d9230faa6be121f847aecc87a	Bu, pek çok Balkan ülkesinin yaşadığı br sorun.	tr	grammar-or-spelling
254a048079379524de861427741da601c34c95d1654bf73d4627483984facf88	Krstiç şu anda kırk altı yıllık hapis cezasını çekmekte.	tr	different-language
254a048079379524de861427741da601c34c95d1654bf73d4627483984facf88	Krstiç şu anda kırk altı yıllık hapis cezasını çekmekte.	tr	difficult-pronounce
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
42b9029d1b9f6dfa28ec634907acbf5824cee4cff486fae1d65a3696bea82a6b	Hırvat takımı, jüri özel ödülünü de aldi.	tr	grammar-or-spelling
253b445368657f3cd8b6bf6442b5e1334a4fbae80b8af2855c8089a8762c671f	Teklif verme süresi altı Kasım'da sona ediyor.	tr	grammar-or-spelling
629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	Batiç ise herhangi bir dosya gördugunu reddetti.	tr	grammar-or-spelling
145cd413d01e896ec0a0d8ba9da84df953d7bf88e2e6dd847b08c37634864e5c	Bazı şeyleri değiştirmeye başlayan insanlar var.	tr	different-language
9b51b169327cd024d95e8051bcd7374047607bc65a9e28e6a2cb3050253a8de0	Turkiye, parlamenter sisteme bin dokuz yüz yirmi yılında geçti.	tr	grammar-or-spelling
8f1759962a4d32b4996032f83025071aa1b4af06afd6aa9e2e3591ac670a68a0	Polis bu olayla ilgili ki şüpheliyi tutukladı.	tr	grammar-or-spelling
8215593135ac153e152917b3e0a58e9936f71c3f1b9173cdf5ee359ad1501885	Şu ânda durum nedir?	tr	grammar-or-spelling
8c6598eeafe50c5ad5caf8e8ad3b39c662e5afd838bbffea189378ee4a45e8e9	Steiner'ın yerine bir cok kisinin adi geciyor.	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
9e1ce5a0636ce41555eb662972e8479f8cef639178dbf6ccf75b0f45d372c7b7	Slyivancanin ise hala kayıp.	tr	difficult-pronounce
9e1ce5a0636ce41555eb662972e8479f8cef639178dbf6ccf75b0f45d372c7b7	Slyivancanin ise hala kayıp.	tr	Yabanci kelime
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
aff14ef7225772b884f449a74508c1d32b304cb7b9a837b74cfa35bb07d5f4fa	Neden hayat bu gittikçe daha pahalı hale geliyor?	tr	grammar-or-spelling
b12af7b999c66e3a4b3935a1ffb12d7afa46273c996ea37ac6178ca14ffa4ba7	Dragnea'nın seçimi pek kişiye sürpriz oldu.	tr	grammar-or-spelling
b6f130c25a2fbca1132b88830d2de5b209d409802545c4bc412b7994cb4660cb	Tesisin inşaatı, dört buçuk yılda tamamlanancak.	tr	grammar-or-spelling
98b9b06df6f164ee7d27389549d03ce3fa2103d47434b5efcb13f14a48e7c802	Stamatis Kraounakis.	tr	different-language
b91da54c4fbe929f55743b5c3ba39e09fd5adf16b15ef8ad31f35326dace170c	İki ülke bloğa yirmi altı ve yirmi yedi. üyeler olarak katıldı.	tr	grammar-or-spelling
b84c883cb0fbcc61dcf480fc89998a8d0f0b76d448e0d132b0d89f5d924201c0	Merwin oldu.	tr	different-language
abdd26104e0c803f8b3e9463d2335eb268527e7c8d7b9a362050ef83bc7caeed	İngiliz takımı toplamda altı. oldu.	tr	grammar-or-spelling
bde974c8c96216656774ec6848c2f032e4020d1ecd922212c531f9c52dad4816	Bdoksan iki bu açıdan hangi noktada duruyor?	tr	grammar-or-spelling
9345ce2dc41258d5db62b6686eccdd8a4281480ccbe8ec4f25885ddf4f582944	Çok az kişi mantıklı secenekler önerdi.	tr	grammar-or-spelling
ae3040ef173a7d99544f9ff2933b0211a27ee1a444395d87e11a770a7efb2248	Gemi seyahati düzenleyen şirketlerin, yeterli rıhtımı bile olmayan bir yeri niçin tercih etsin?	tr	grammar-or-spelling
aa073ee6d2d5fc847a6fd2f8edceb8c020d772f4c49cd8e579f5995f22bd844b	Ancak bu iş şu ana kadar hiç de kolay gorunmuyor.	tr	grammar-or-spelling
afec94ab0b0f7cb25903393b6d01eb5015faccba9c83238951681a781f7d0037	Bu süre icinde ne gibi başarılar elde edildi?	tr	grammar-or-spelling
b0d1b587b82f6c562724cc849a28bcc623378c4dde1eb9b24992b349e953984d	Hak verilmeli ki, dünya çapındaki sorunlar aslında insan beyninin mekanizmaları hakkında bize oldukça aydınlatıyor.	tr	grammar-or-spelling
c6f4a20d9b494243120c7a07345690ff8592c3bf2f17a5e2928bee1890c89d97	Ancak, bu olumlu durum kısa sürede tersine dondu.	tr	grammar-or-spelling
b1242f22b706ca31d5307ef45d33ff583d643721e0e35bf5b8471b7c50a6606f	Ve Bayrami zamanın tükendiğini biliyor.	tr	grammar-or-spelling
c0cfe9879db41a73c4f39782131f9bc8d0b9bd4d0bdf9e7330955e53d03037ec	Bunun bir çeşit etnik temizlik olarak görüyor musunuz?	tr	grammar-or-spelling
cfb2f4d7e459100e82506830303659f9c935c8d007d54354b9b931f2b9740fd1	Mimari on dokuz. yüzyıl sonlarına oldukça benziyor.	tr	grammar-or-spelling
b25072f92772ef0cdb1a829ab0233930d9179a3220d85c63296ab05a58b5c22b	Makedonya'nın Prilep kentinde düzenlenen otuz dört.	tr	grammar-or-spelling
b911bf1eb3ecbdf578971792e83674e4c957d8214c799d55a35b623cb2b0e67b	Fakat anılarımızda yer almak için burada.	tr	grammar-or-spelling
e46dda1281e4c6b5f8b832bed98daf252c1e717a9e6bd11fc499eca1c7dda81b	Sizce tarafların yakın bir gelecekte anlaşlamaya varmasını beklemek gerçekçi mi?	tr	grammar-or-spelling
4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	Pensioners also lambasted the measures.	tr	different-language
dbe65009bc721c9afba275064e4766aca496bea1ed52ace52439d56de3dcdf1b	Diğer partilerse açık farkla geriden geliyor.	tr	grammar-or-spelling
dd07cfd929036ba8f769cb54acb00b2237c44114a72ffe9b38d9eee9d3e0d18b	Makedonya ise dokuzuncu Grupta üçüncü sırada yer alıyor.	tr	grammar-or-spelling
afec94ab0b0f7cb25903393b6d01eb5015faccba9c83238951681a781f7d0037	Bu süre icinde ne gibi başarılar elde edildi?	tr	grammar-or-spelling
cf071b3088b236608340c33d56c04ddf82046007b9cf81b93ee84dfd5a72f364	Çinli Yibing Chen altında madalyanın sahibi oldu.	tr	grammar-or-spelling
e03168e22a05d4d4ce5b08a2ca60e5a2e1675a5e31c4bd354963fd7ec655a3a5	Erkeklerse Brezilya'yı iki-bir yendiler.	tr	grammar-or-spelling
ea56483a4f1b8b92c75752286e373f6ec75fbbbab991c4e619279dec96a2ab72	Makedonya, Moskova'da düzenlenecek yirmi üç.	tr	grammar-or-spelling
9efc84f9f6e50f42caf1307b718033729f7b7e214ac4554eb00cba8f1a1d7d4d	Nuremberg, Frankenstadion.	tr	grammar-or-spelling
d87b6cd44769a701265bec6eab7986bca8d7be2b75c473fdc20e2b20c2e12c0d	Rodos'a gidiş dönüş biletiyse adam başı iki yüz elli avro.	tr	grammar-or-spelling
b0d1b587b82f6c562724cc849a28bcc623378c4dde1eb9b24992b349e953984d	Hak verilmeli ki, dünya çapındaki sorunlar aslında insan beyninin mekanizmaları hakkında bize oldukça aydınlatıyor.	tr	grammar-or-spelling
f1d99f8dbe27d9a6cf9f409abd7b78e5289bb872148733fecd5c3eb0dd683201	Franchini ölmedi.	tr	different-language
cf071b3088b236608340c33d56c04ddf82046007b9cf81b93ee84dfd5a72f364	Çinli Yibing Chen altında madalyanın sahibi oldu.	tr	grammar-or-spelling
d46cc82d0b4969b0448e725ca002d1dc4c0a9127b7145ce947dd85f7e28b0969	Tam olarak itiraz ettiğini noktalar neler? Sizce yasanın olumlu yönleri de var mı?	tr	grammar-or-spelling
f5562bb0fa671f1a37ac228cd1a4754161d2353e6f4a68b8ccbb00a22d73fd4e	Üsküp karar tepki göstemekte gecikmedi.	tr	grammar-or-spelling
e958ef6467264a44e5a103eea6c2082e03d79d8d578ce82eed81384cc4474f0b	Partinin hükümet gündemini sunmak.	tr	grammar-or-spelling
08e77e6018ca52435e5e342a57163f01f7cc1183eb569810b866df3891f02750	Sırbistan bu sorunlar nasıl başa çıkacak?	tr	grammar-or-spelling
15fe2959219f203eb080c689681f55ac529e78f3a76dcd6684a9d4f9d6519764	Halka açık sigara yerlerde sigara içmek mi?	tr	grammar-or-spelling
fc7ca58a3f3efa6f0380ea2b4ea5ab46ecbf176c5160b21c1cbb9c3157ca7801	Fakat Stojarova'nın başka bir önerisi var.	tr	different-language
1aa01776accecc4791c48014eaf05d049bcf88db30011fe18cd8b567b7ffd821	Tutumların Avrupalı bir unsura rastlamadım.	tr	grammar-or-spelling
0ac0f81d8c8402bff211934f321524dd0a12b87e0274fa0bbaa59863815edbdf	Bugünlerde, Sighisoara popüler bir tatil beldesi.	tr	different-language
e83d759baa5781c2d33e6b539b9e1b52f26d2af0a1e266f167bbad5f264b3321	Louka Katseli ekonomi bakanı olacak.	tr	different-language
15ed9f716915a81cc2033d925ddae80bf99f87c796db659a44fb93d26d4caa54	Mahhemenin altı ay sürmesi bekleniyor.	tr	grammar-or-spelling
fa9903ab509c31600c04671a3eaf33efb0ab70a9aa3cc49d57ca0601e4fa2722	Kalogeresis aynı fikirde değil.	tr	different-language
